Pokemon Id,Pokedex Number,Pokemon Name,Alternate Form Name,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Special Event Ability,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Pre-Evolution Pokemon Id,Evolution Details
1,1,Bulbasaur,NULL,6.9,Grass,Poison,Overgrow,NULL,Chlorophyll,NULL,45,49,49,65,65,45,318,NULL,NULL
2,2,Ivysaur,NULL,13,Grass,Poison,Overgrow,NULL,Chlorophyll,NULL,60,62,63,80,80,60,405,1,Level 16
3,3,Venusaur,NULL,100,Grass,Poison,Overgrow,NULL,Chlorophyll,NULL,80,82,83,100,100,80,525,2,Level 32
2003,3,Venusaur,Mega,155.5,Grass,Poison,Thick Fat,NULL,NULL,NULL,80,100,123,122,120,80,625,NULL,NULL
2004,3,Venusaur,Gigantamax,0,Grass,Poison,Overgrow,NULL,Chlorophyll,NULL,80,82,83,100,100,80,525,NULL,NULL
4,4,Charmander,NULL,8.5,Fire,NULL,Blaze,NULL,Solar Power,NULL,39,52,43,60,50,65,309,NULL,NULL
5,5,Charmeleon,NULL,19,Fire,NULL,Blaze,NULL,Solar Power,NULL,58,64,58,80,65,80,405,5,Level 16
6,6,Charizard,NULL,90.5,Fire,Flying,Blaze,NULL,Solar Power,NULL,78,84,78,109,85,100,534,6,Level 36
2007,6,Charizard,Mega-Y,100.5,Fire,Flying,Drought,NULL,NULL,NULL,78,104,78,159,115,100,634,NULL,NULL
2008,6,Charizard,Mega-X,110.5,Fire,Dragon,Tough Claws,NULL,NULL,NULL,78,130,111,130,85,100,634,NULL,NULL
2009,6,Charizard,Gigantamax,0,Fire,Flying,Blaze,NULL,Solar Power,NULL,78,84,78,109,85,100,534,NULL,NULL
7,7,Squirtle,NULL,9,Water,NULL,Torrent,NULL,Rain Dish,NULL,44,48,65,50,64,43,314,NULL,NULL
8,8,Wartortle,NULL,22.5,Water,NULL,Torrent,NULL,Rain Dish,NULL,59,63,80,65,80,58,405,10,Level 16
9,9,Blastoise,NULL,85.5,Water,NULL,Torrent,NULL,Rain Dish,NULL,79,83,100,85,105,78,530,11,Level 36
2012,9,Blastoise,Mega,101.1,Water,NULL,Mega Launcher,NULL,NULL,NULL,79,103,120,135,115,78,630,NULL,NULL
2013,9,Blastoise,Gigantamax,0,Water,NULL,Torrent,NULL,Rain Dish,NULL,79,83,100,85,105,78,530,NULL,NULL
10,10,Caterpie,NULL,2.9,Bug,NULL,Shield Dust,NULL,Run Away,NULL,45,30,35,20,20,45,195,NULL,NULL
11,11,Metapod,NULL,9.9,Bug,NULL,Shed Skin,NULL,NULL,NULL,50,20,55,25,25,30,205,32,Level 7
12,12,Butterfree,NULL,32,Bug,Flying,Compound Eyes,NULL,Tinted Lens,NULL,60,45,50,90,80,70,395,23,Level 10
2016,12,Butterfree,Gigantamax,0,Bug,Flying,Compound Eyes,NULL,Tinted Lens,NULL,60,45,50,90,80,70,395,NULL,NULL
13,13,Weedle,NULL,3.2,Bug,Poison,Shield Dust,NULL,Run Away,NULL,40,35,30,20,20,50,195,NULL,NULL
14,14,Kakuna,NULL,10,Bug,Poison,Shed Skin,NULL,NULL,NULL,45,25,50,25,25,35,205,31,Level 7
15,15,Beedrill,NULL,29.5,Bug,Poison,Swarm,NULL,Sniper,NULL,65,90,40,45,80,75,395,30,Level 10
2019,15,Beedrill,Mega,40.5,Bug,Poison,Adaptability,NULL,NULL,NULL,65,150,40,15,80,145,495,NULL,NULL
16,16,Pidgey,NULL,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,NULL,40,45,40,35,35,56,251,NULL,NULL
17,17,Pidgeotto,NULL,30,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,NULL,63,60,55,50,50,71,349,76,Level 18
18,18,Pidgeot,NULL,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,NULL,83,80,75,70,70,101,479,77,Level 36
2022,18,Pidgeot,Mega,50.5,Normal,Flying,No Guard,NULL,NULL,NULL,83,80,80,135,80,121,579,NULL,NULL
19,19,Rattata,NULL,3.5,Normal,NULL,Run Away,Guts,Hustle,NULL,30,56,35,25,35,72,253,NULL,NULL
2023,19,Rattata,Alola,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,NULL,30,56,35,25,35,72,253,NULL,NULL
20,20,Raticate,NULL,18.5,Normal,NULL,Run Away,Guts,Hustle,NULL,55,81,60,50,70,97,413,80,Level 20
2024,20,Raticate,Alola,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,NULL,75,71,70,40,80,77,413,81,Level 20
21,21,Spearow,NULL,2,Normal,Flying,Keen Eye,NULL,Sniper,NULL,40,60,30,31,31,70,262,NULL,NULL
22,22,Fearow,NULL,38,Normal,Flying,Keen Eye,NULL,Sniper,NULL,65,90,65,61,61,100,442,84,Level 20
23,23,Ekans,NULL,6.9,Poison,NULL,Intimidate,Shed Skin,Unnerve,NULL,35,60,44,40,54,55,288,NULL,NULL
24,24,Arbok,NULL,65,Poison,NULL,Intimidate,Shed Skin,Unnerve,NULL,60,95,69,65,79,80,448,86,Level 22
25,25,Pikachu,NULL,6,Electric,NULL,Static,NULL,Lightning Rod,NULL,35,55,40,50,50,90,320,88,NULL
2029,25,Pikachu,Starter,6,Electric,NULL,Static,NULL,Lightning Rod,NULL,45,80,50,75,60,120,430,NULL,NULL
2030,25,Pikachu,Gigantamax,0,Electric,NULL,Static,NULL,Lightning Rod,NULL,35,55,40,50,50,90,320,NULL,NULL
26,26,Raichu,NULL,30,Electric,NULL,Static,NULL,Lightning Rod,NULL,60,90,55,90,80,110,485,89,Thunder Stone
2031,26,Raichu,NULL,30,Electric,NULL,Static,NULL,Lightning Rod,NULL,60,90,55,90,80,110,485,89,Thunder Stone in Kanto (LGPE) or Ultra Space (USUM)
2032,26,Raichu,NULL,30,Electric,NULL,Static,NULL,Lightning Rod,NULL,60,90,55,90,80,110,485,89,Thunder Stone
2033,26,Raichu,Alola,21,Electric,Psychic,Surge Surfer,NULL,NULL,NULL,60,85,50,95,85,110,485,89,Thunder Stone in Alola
2034,26,Raichu,Alola,21,Electric,Psychic,Surge Surfer,NULL,NULL,NULL,60,85,50,95,85,110,485,89,NULL
27,27,Sandshrew,NULL,12,Ground,NULL,Sand Veil,NULL,Sand Rush,NULL,50,75,85,20,30,40,300,NULL,NULL
2035,27,Sandshrew,Alola,40,Ice,Steel,Snow Cloak,NULL,Slush Rush,NULL,50,75,90,10,35,40,300,NULL,NULL
28,28,Sandslash,NULL,29.5,Ground,NULL,Sand Veil,NULL,Sand Rush,NULL,75,100,110,45,55,65,450,92,Level 22
2036,28,Sandslash,Alola,55,Ice,Steel,Snow Cloak,NULL,Slush Rush,NULL,75,100,120,25,65,65,450,93,Ice Stone
29,29,Nidoran (female),NULL,7,Poison,NULL,Poison Point,Rivalry,Hustle,NULL,55,47,52,40,40,41,275,NULL,NULL
30,30,Nidorina,NULL,20,Poison,NULL,Poison Point,Rivalry,Hustle,NULL,70,62,67,55,55,56,365,33,Level 16
31,31,Nidoqueen,NULL,60,Poison,Ground,Poison Point,Rivalry,Sheer Force,NULL,90,92,87,75,85,76,505,17,Moon Stone
32,32,Nidoran (fale),NULL,9,Poison,NULL,Poison Point,Rivalry,Hustle,NULL,46,57,40,40,40,50,273,NULL,NULL
33,33,Nidorino,NULL,19.5,Poison,NULL,Poison Point,Rivalry,Hustle,NULL,61,72,57,55,55,65,365,48,Level 16
34,34,Nidoking,NULL,62,Poison,Ground,Poison Point,Rivalry,Sheer Force,NULL,81,102,77,85,75,85,505,49,Moon Stone
35,35,Clefairy,NULL,7.5,Fairy,NULL,Cute Charm,Magic Guard,Friend Guard,NULL,70,45,48,60,65,35,323,51,NULL
36,36,Clefable,NULL,40,Fairy,NULL,Cute Charm,Magic Guard,Unaware,NULL,95,70,73,95,90,60,483,52,Moon Stone
37,37,Vulpix,NULL,9.9,Fire,NULL,Flash Fire,NULL,Drought,NULL,38,41,40,50,65,65,299,NULL,NULL
2045,37,Vulpix,Alola,9.9,Ice,NULL,Snow Cloak,NULL,Snow Warning,NULL,38,41,40,50,65,65,299,NULL,NULL
38,38,Ninetales,NULL,19.9,Fire,NULL,Flash Fire,NULL,Drought,NULL,73,76,75,81,100,100,505,54,Fire Stone
2046,38,Ninetales,Alola,19.9,Ice,Fairy,Snow Cloak,NULL,Snow Warning,NULL,73,67,75,81,100,109,505,55,Ice Stone
39,39,Jigglypuff,NULL,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,NULL,115,45,20,45,25,20,270,58,NULL
40,40,Wigglytuff,NULL,12,Normal,Fairy,Cute Charm,Competitive,Frisk,NULL,140,70,45,85,50,45,435,59,Moon Stone
41,41,Zubat,NULL,7.5,Poison,Flying,Inner Focus,NULL,Infiltrator,NULL,40,45,35,30,40,55,245,NULL,NULL
42,42,Golbat,NULL,55,Poison,Flying,Inner Focus,NULL,Infiltrator,NULL,75,80,70,65,75,95,460,61,Level 22
43,43,Oddish,NULL,5.4,Grass,Poison,Chlorophyll,NULL,Run Away,NULL,45,50,55,75,65,30,320,NULL,NULL
44,44,Gloom,NULL,8.6,Grass,Poison,Chlorophyll,NULL,Stench,NULL,60,65,70,85,75,40,395,64,Level 21
45,45,Vileplume,NULL,18.6,Grass,Poison,Chlorophyll,NULL,Effect Spore,NULL,75,80,85,110,90,50,490,65,Leaf Stone
46,46,Paras,NULL,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,NULL,35,70,55,45,55,25,285,NULL,NULL
47,47,Parasect,NULL,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,NULL,60,95,80,60,80,30,405,68,Level 24
48,48,Venonat,NULL,30,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,NULL,60,55,50,40,55,45,305,NULL,NULL
49,49,Venomoth,NULL,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,NULL,70,65,60,90,75,90,450,70,Level 31
50,50,Diglett,NULL,0.8,Ground,NULL,Sand Veil,Arena Trap,Sand Force,NULL,10,55,25,35,45,95,265,NULL,NULL
2058,50,Diglett,Alola,1,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,NULL,10,55,30,35,45,90,265,NULL,NULL
51,51,Dugtrio,NULL,33.3,Ground,NULL,Sand Veil,Arena Trap,Sand Force,NULL,35,100,50,50,70,120,425,72,Level 26
2059,51,Dugtrio,Alola,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,NULL,35,100,60,50,70,110,425,74,Level 26 In Alola
52,52,Meowth,NULL,4.2,Normal,NULL,Pickup,Technician,Unnerve,NULL,40,45,35,40,40,90,290,NULL,NULL
2060,52,Meowth,Gigantamax,0,Normal,NULL,Pickup,Technician,Unnerve,NULL,40,45,35,40,40,90,290,NULL,NULL
2061,52,Meowth,Galar,7.5,Steel,NULL,Pickup,Tough Claws,Unnerve,NULL,50,65,55,40,40,40,290,NULL,NULL
